,disp_id,account_id,disposition_type,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
4603,4972,4130,OWNER,monthly issuance,970601,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,21,True,770713,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
4604,4974,4131,OWNER,monthly issuance,940819,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,36,True,620630,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
4606,4976,4132,OWNER,monthly issuance,971002,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,17,False,810118,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
4607,4979,4134,OWNER,monthly issuance,930303,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,61,False,370628,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
4608,4989,4140,OWNER,monthly issuance,971205,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,63,False,350904,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525
4609,4992,4143,OWNER,monthly issuance,971007,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,26,True,720714,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
4610,4993,4144,OWNER,monthly issuance,960819,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,25,True,730627,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4612,5002,4150,OWNER,monthly issuance,970705,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,21,True,770717,65,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
4613,5010,4156,OWNER,monthly issuance,970627,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,48,True,500908,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668
4614,5012,4158,OWNER,monthly issuance,970904,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,26,True,720922,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127
4615,5013,4159,OWNER,monthly issuance,930709,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,18,False,800915,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4616,5016,4161,OWNER,monthly issuance,950223,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,52,True,460105,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4617,5028,4171,OWNER,monthly issuance,930612,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,22,False,760410,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525
4618,5030,4173,OWNER,monthly issuance,931108,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,18,False,800115,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4619,5046,4186,OWNER,monthly issuance,960825,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,61,False,370822,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4620,5050,4190,OWNER,monthly issuance,951004,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,47,False,510119,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906
4621,5056,4195,OWNER,monthly issuance,940521,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,41,True,570204,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
4622,5067,4204,OWNER,monthly issuance,960129,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,23,True,750910,21,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354
4623,5072,4208,OWNER,monthly issuance,970408,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,17,True,810324,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4624,5081,4214,OWNER,monthly issuance,960321,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,37,True,611031,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4625,5093,4225,OWNER,monthly issuance,930518,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,49,True,490412,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
4626,5107,4237,OWNER,monthly issuance,931129,18,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,51,True,471006,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
4628,5111,4240,OWNER,monthly issuance,930208,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,39,False,591212,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
4629,5117,4245,OWNER,monthly issuance,940502,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,23,False,750321,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
4630,5126,4253,OWNER,monthly issuance,960116,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,33,False,650403,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
4631,5127,4254,OWNER,monthly issuance,930504,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,23,True,750405,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
4632,5128,4255,OWNER,weekly issuance,931108,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,35,False,631224,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
4633,5132,4258,OWNER,monthly issuance,950826,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,31,False,671021,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839
4634,5133,4259,OWNER,monthly issuance,940408,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,39,True,590810,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
4635,5134,4260,OWNER,monthly issuance,931014,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,31,True,670719,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471
4636,5137,4263,OWNER,monthly issuance,950717,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,19,False,790505,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
4637,5138,4264,OWNER,monthly issuance,931207,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,24,True,740805,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
4638,5141,4266,OWNER,monthly issuance,970205,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,45,True,530519,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
4639,5143,4268,OWNER,monthly issuance,970220,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,25,False,730309,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
4641,5145,4269,OWNER,monthly issuance,951224,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,48,True,501031,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261
4642,5149,4273,OWNER,monthly issuance,960311,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,36,False,621218,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
4643,5152,4276,OWNER,monthly issuance,940709,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,23,True,750909,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
4644,5159,4283,OWNER,monthly issuance,941016,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,34,False,641202,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
4645,5163,4286,OWNER,monthly issuance,961111,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,41,True,571028,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
4646,5164,4287,OWNER,monthly issuance,931017,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,27,False,711130,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487
4647,5171,4293,OWNER,issuance after transaction,960204,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,42,True,560923,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
4648,5175,4296,OWNER,monthly issuance,930128,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,49,True,490918,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
4649,5180,4301,OWNER,monthly issuance,970626,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,55,False,431220,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4650,5189,4309,OWNER,weekly issuance,970625,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,37,True,610110,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
4651,5200,4318,OWNER,weekly issuance,930413,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,38,True,600423,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
4653,5203,4320,OWNER,monthly issuance,960723,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,53,True,450908,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
4654,5204,4321,OWNER,monthly issuance,930418,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,35,False,630122,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
4655,5212,4328,OWNER,monthly issuance,940617,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,52,True,461012,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
4656,5213,4329,OWNER,monthly issuance,940217,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,18,False,801010,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4657,5214,4330,OWNER,monthly issuance,950705,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,22,False,760912,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
4659,5217,4332,OWNER,monthly issuance,971223,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,58,True,400716,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
4660,5223,4336,OWNER,monthly issuance,970708,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,21,True,770111,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
4661,5224,4337,OWNER,monthly issuance,931116,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,49,False,490724,29,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888
4662,5232,4342,OWNER,monthly issuance,960429,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,50,True,480406,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
4663,5233,4343,OWNER,monthly issuance,931122,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,31,False,671030,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
4664,5236,4346,OWNER,monthly issuance,960315,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,20,False,780603,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218
4665,5237,4347,OWNER,monthly issuance,930327,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,21,False,770803,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4666,5240,4349,OWNER,monthly issuance,960916,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,58,False,400217,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
4667,5241,4350,OWNER,monthly issuance,930404,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,20,False,780626,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
4668,5243,4352,OWNER,monthly issuance,930705,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,28,False,700418,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
4669,5245,4354,OWNER,monthly issuance,970108,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,56,True,420318,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
4670,5246,4355,OWNER,monthly issuance,930221,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,16,False,820515,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
4671,5247,4356,OWNER,monthly issuance,940126,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,55,False,430414,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
4672,5249,4358,OWNER,monthly issuance,970212,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,27,True,710105,5,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
4673,5253,4361,OWNER,monthly issuance,960311,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,52,True,461007,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
4675,5263,4368,OWNER,monthly issuance,950116,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,36,True,620227,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4676,5273,4375,OWNER,monthly issuance,961028,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,39,False,590110,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
4677,5275,4377,OWNER,monthly issuance,930424,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,48,False,500521,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525
4678,5277,4379,OWNER,monthly issuance,960628,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,30,True,681107,44,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
4679,5281,4383,OWNER,monthly issuance,961110,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,57,False,411224,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
4680,5283,4385,OWNER,monthly issuance,931123,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,16,False,820310,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
4681,5284,4386,OWNER,weekly issuance,971129,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,27,True,710924,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839
4682,5287,4389,OWNER,monthly issuance,960728,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,27,False,710102,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
4683,5308,4405,OWNER,monthly issuance,960908,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,24,True,740709,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471
4684,5312,4408,OWNER,weekly issuance,940411,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,51,False,470108,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595
4686,5318,4413,OWNER,weekly issuance,940115,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,30,False,680328,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
4688,5320,4414,OWNER,monthly issuance,930910,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,47,True,510407,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
4690,5322,4415,OWNER,monthly issuance,950705,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,42,True,560313,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
4691,5323,4416,OWNER,monthly issuance,940212,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,22,True,760217,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295
4692,5325,4418,OWNER,monthly issuance,940209,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,28,True,700918,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
4694,5333,4423,OWNER,monthly issuance,950426,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,31,True,670529,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
4695,5334,4424,OWNER,monthly issuance,960129,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,63,False,351229,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717
4696,5337,4427,OWNER,monthly issuance,930607,32,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,37,False,610502,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4698,5347,4434,OWNER,monthly issuance,941209,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,49,False,490331,41,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471
4699,5352,4437,OWNER,monthly issuance,930924,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,22,True,760818,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
4700,5353,4438,OWNER,monthly issuance,960804,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,31,True,670522,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717
4701,5354,4439,OWNER,monthly issuance,951225,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,31,True,670105,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
4702,5358,4442,OWNER,monthly issuance,960808,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,56,False,420831,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
4703,5362,4445,OWNER,monthly issuance,970807,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,59,False,391209,47,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410
4704,5364,4447,OWNER,monthly issuance,960616,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,34,False,640314,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906
4706,5366,4448,OWNER,monthly issuance,930602,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,27,True,710920,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
4708,5374,4454,OWNER,monthly issuance,961221,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,51,False,471126,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
4709,5376,4456,OWNER,monthly issuance,960903,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,28,False,700123,14,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295
4710,5379,4458,OWNER,monthly issuance,960423,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,20,False,780320,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
4711,5384,4462,OWNER,weekly issuance,951227,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,63,False,350721,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
4712,5385,4463,OWNER,monthly issuance,930903,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,24,False,740201,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
4713,5389,4467,OWNER,weekly issuance,970413,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,30,False,680831,17,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181
4714,5392,4470,OWNER,monthly issuance,931101,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,43,True,550328,16,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
4715,5393,4471,OWNER,weekly issuance,970609,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,43,False,551203,4,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892
4716,5395,4473,OWNER,monthly issuance,951009,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,36,False,620601,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
4717,5397,4475,OWNER,monthly issuance,970416,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,29,True,690730,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
4719,5399,4476,OWNER,monthly issuance,941110,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,26,True,721227,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
4720,5402,4478,OWNER,monthly issuance,930723,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,30,True,680529,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
4721,5404,4480,OWNER,monthly issuance,960819,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,22,True,760918,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471
4722,5409,4484,OWNER,monthly issuance,930203,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,50,False,480325,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
4723,5413,4488,OWNER,monthly issuance,960424,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,52,False,460410,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
4724,5420,4493,OWNER,issuance after transaction,961015,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,63,False,350719,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
4725,5433,4503,OWNER,monthly issuance,950103,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,23,False,750924,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
4726,5441,4511,OWNER,monthly issuance,930926,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,41,False,570125,18,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
4727,5445,4514,OWNER,monthly issuance,931218,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,46,False,520916,69,north Moravia,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358
4728,5450,4519,OWNER,monthly issuance,940608,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,58,False,400828,8,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
4729,5460,4526,OWNER,monthly issuance,931129,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,37,False,611001,63,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
